시군구,회사명,도로명주소,데이터기준일자
안산시,(주)엠알,"경기도 안산시 단원구 광덕대로 187,  장은타워 801호 (고잔동)",2024-02-13
안산시,(주)엠케이씰테크,경기도 안산시 상록구 안산벌말길 35-5 (장하동),2024-02-13
안산시,(주)예강텔레콤,"경기도 안산시 단원구 광덕대로 187, 5층 506호 (고잔동, 장은타워)",2024-02-13
안산시,(주)오성전기,"경기도 안산시 상록구 고목로6길 20, 1,2층 (본오동)",2024-02-13
안산시,(주)오와이에스,경기도 안산시 상록구 선진5길 6 (사동) 1층,2024-02-13
안산시,(주)온유테크,"경기도 안산시 상록구 안산대학로 155, 안산대학 창업보육센터 309호 (일동, 강의동)",2024-02-13
안산시,(주)와이티에스,경기도 안산시 상록구 수인로 722 (사사동),2024-02-13
안산시,(주)우정티엠에스,경기도 안산시 상록구 팔곡산단2길 9(팔곡이동),2024-02-13
안산시,(주)우제산업,경기도 안산시 상록구 오목로 180 (본오동),2024-02-13
안산시,(주)원일제이엠,경기도 안산시 상록구 안산테콤길 20 (사사동),2024-02-13
안산시,(주)원하이테크,경기도 안산시 상록구 안산테콤길 22 (사사동),2024-02-13
안산시,(주)월드전자기술,경기도 안산시 상록구 각골동로 28 (본오동),2024-02-13
안산시,(주)위드뷰 안산2공장,"경기도 안산시 상록구 오목로 185 (본오동, (주)삼일정공)",2024-02-13
안산시,(주)유니로보틱스,경기도 안산시 상록구 안산대학로 155 (일동) 창업보육센터 503호,2024-02-13
안산시,(주)유스,"경기도 안산시 상록구 용담로 89, 1층 (팔곡이동)",2024-02-13
안산시,(주)유앤제이,경기도 안산시 상록구 팔곡산단2길 14 (팔곡이동),2024-02-13
안산시,(주)육인테크,"경기도 안산시 상록구 도금단지1길 34 (팔곡이동, 욱일테크)",2024-02-13
안산시,(주)이베이스,경기도 안산시 상록구 도금단지2길 17-10 (팔곡이동),2024-02-13
안산시,(주)이웨이브솔루션,경기도 안산시 상록구 안산테콤길 57 (사사동),2024-02-13
안산시,(주)이지택시스템,경기도 안산시 상록구 청곡길 87 (부곡동),2024-02-13
안산시,(주)이지텍,"경기도 안산시 단원구 본동길 3-14,  1층 (신길동) (총 2 필지)",2024-02-13
안산시,(주)이피코리아,"경기도 안산시 상록구 도금단지2길 22 (팔곡이동, 이피코리아) 외 1필지",2024-02-13
안산시,(주)이피코리아,경기도 안산시 상록구 팔곡산단3길 19(팔곡이동),2024-02-13
안산시,(주)일광전자,"경기도 안산시 상록구 충장로3길 26,  지하층 (본오동)",2024-02-13
안산시,(주)일신테크,"경기도 안산시 상록구 선진4길 7 (사동, (주)일신테크)",2024-02-13
안산시,(주)일양수출포장,경기도 안산시 상록구 안산테콤길 10 (사사동) 2층,2024-02-13
안산시,(주)자연미감,경기도 안산시 단원구 고잔로 57-11 (고잔동) 209호,2024-02-13
안산시,(주)자연의 선물,"경기도 안산시 상록구 예술광장로 1, 609호 (월피동, 다농마트)",2024-02-13
안산시,(주)정도비즈,"경기도 안산시 상록구 도금단지2길 17-12 (팔곡이동, (주)현대방화문)",2024-02-13
안산시,(주)제3스틸,"경기도 안산시 상록구 선진1길 11 (사동, A동)",2024-02-13
안산시,(주)제니시스,"경기도 안산시 상록구 안산테콤길 43, 3층(일부) (사사동, 고려정공)",2024-02-13
안산시,(주)제이에스앤씨,"경기도 안산시 상록구 도금단지2길 17-12 (팔곡이동, (주)현대방화문)",2024-02-13
안산시,(주)제이에스텍,경기도 안산시 상록구 남산평길 135  (팔곡일동),2024-02-13
안산시,(주)제이케이씨코리아,"경기도 안산시 상록구 팔곡산단1길 28(팔곡이동, (주)제이케이씨코리아)",2024-02-13
