법정동코드,시도명,시군구명,법정동명,도로명코드,도로명,행정동코드,행정동명,우편번호,업체코드,데이터기준일자
4127110200,경기도,안산시 상록구,이동,413000000000,매화로,4127151500,이동,15514,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,안산대학로,4127151500,이동,15514,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,구룡공원길,4127151500,이동,15510,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,충장로6길,4127151500,이동,15510,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석삼말로,4127151500,이동,15510,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,도매시장로,4127151500,이동,15510,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,성호로,4127151000,일동,15316,8,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,항가울로,4127151500,이동,15486,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,광덕4로,4127151500,이동,15495,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,광덕4로,4127151500,이동,15489,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,조구나리1길,4127151500,이동,15486,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,안산천남1로,4127151500,이동,15486,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,조구나리길,4127151500,이동,15486,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,조구나리길,4127151500,이동,15486,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,조구나리1길,4127151500,이동,15486,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호1길,4127151500,이동,15487,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호5길,4127151500,이동,15487,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호로,4127151500,이동,15487,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호2길,4127151500,이동,15487,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호3길,4127151500,이동,15487,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호4길,4127151500,이동,15487,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호1길,4127151500,이동,15487,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호4길,4127151500,이동,15487,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호3길,4127151500,이동,15487,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호로,4127151500,이동,15488,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호1길,4127151500,이동,15488,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,송호5길,4127151500,이동,15488,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,광덕1로,4127151500,이동,15491,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,안산천남1로,4127151500,이동,15491,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석호로,4127151500,이동,15490,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,광덕3로,4127151500,이동,15490,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,박우물3길,4127151500,이동,15492,13,2023-11-09
